ambiguity,method,task_success,safe_success,wrong_tool,wrong_entity,ambiguity_detected,over_clarification,risk_weighted_wrong_entity
account_collision,cmtf_only,100.0,100.0,0.0,0.0,0.0,0.0,0.0
account_collision,confidence_gate,47.5,47.5,0.0,0.0,52.5,0.0,0.0
account_collision,direct,100.0,100.0,0.0,0.0,0.0,0.0,0.0
account_collision,entity_cmtf_provenance,30.0,30.0,0.0,0.0,70.0,0.0,0.0
account_collision,entity_retrieval,100.0,100.0,0.0,0.0,0.0,0.0,0.0
account_collision,semantic_filter,100.0,100.0,0.0,0.0,0.0,0.0,0.0
cross_system,cmtf_only,80.0,80.0,0.0,20.0,0.0,0.0,0.8
cross_system,confidence_gate,0.0,0.0,0.0,0.0,100.0,0.0,0.0
cross_system,direct,80.0,80.0,0.0,20.0,0.0,0.0,0.8
cross_system,entity_cmtf_provenance,0.0,0.0,0.0,0.0,100.0,0.0,0.0
cross_system,entity_retrieval,80.0,80.0,0.0,20.0,0.0,0.0,0.8
cross_system,semantic_filter,80.0,80.0,0.0,20.0,0.0,0.0,0.8
document_version,cmtf_only,100.0,100.0,0.0,0.0,0.0,0.0,0.0
document_version,confidence_gate,40.0,40.0,0.0,0.0,60.0,0.0,0.0
document_version,direct,100.0,100.0,0.0,0.0,0.0,0.0,0.0
document_version,entity_cmtf_provenance,40.0,40.0,0.0,0.0,60.0,0.0,0.0
document_version,entity_retrieval,100.0,100.0,0.0,0.0,0.0,0.0,0.0
document_version,semantic_filter,100.0,100.0,0.0,0.0,0.0,0.0,0.0
name_collision,cmtf_only,80.0,80.0,0.0,20.0,0.0,0.0,0.8
name_collision,confidence_gate,0.0,0.0,0.0,0.0,100.0,0.0,0.0
name_collision,direct,80.0,80.0,0.0,20.0,0.0,0.0,0.8
name_collision,entity_cmtf_provenance,0.0,0.0,0.0,0.0,100.0,0.0,0.0
name_collision,entity_retrieval,80.0,80.0,0.0,20.0,0.0,0.0,0.8
name_collision,semantic_filter,80.0,80.0,0.0,20.0,0.0,0.0,0.8
near_duplicate,cmtf_only,100.0,100.0,0.0,0.0,0.0,0.0,0.0
near_duplicate,confidence_gate,25.0,25.0,0.0,0.0,75.0,0.0,0.0
near_duplicate,direct,100.0,100.0,0.0,0.0,0.0,0.0,0.0
near_duplicate,entity_cmtf_provenance,0.0,0.0,0.0,0.0,100.0,0.0,0.0
near_duplicate,entity_retrieval,100.0,100.0,0.0,0.0,0.0,0.0,0.0
near_duplicate,semantic_filter,100.0,100.0,0.0,0.0,0.0,0.0,0.0
temporal,cmtf_only,2.5,2.5,0.0,97.5,0.0,0.0,3.9
temporal,confidence_gate,0.0,0.0,0.0,0.0,100.0,0.0,0.0
temporal,direct,0.0,0.0,0.0,100.0,0.0,0.0,4.0
temporal,entity_cmtf_provenance,0.0,0.0,0.0,0.0,100.0,0.0,0.0
temporal,entity_retrieval,0.0,0.0,0.0,100.0,0.0,0.0,4.0
temporal,semantic_filter,7.5,7.5,0.0,90.0,2.5,0.0,3.6
true_ambiguity,cmtf_only,0.0,0.0,0.0,100.0,0.0,0.0,5.0
true_ambiguity,confidence_gate,0.0,100.0,0.0,0.0,100.0,0.0,0.0
true_ambiguity,direct,0.0,0.0,0.0,100.0,0.0,0.0,5.0
true_ambiguity,entity_cmtf_provenance,0.0,100.0,0.0,0.0,100.0,0.0,0.0
true_ambiguity,entity_retrieval,0.0,0.0,0.0,100.0,0.0,0.0,5.0
true_ambiguity,semantic_filter,0.0,8.0,0.0,92.0,8.0,0.0,4.6
unambiguous,cmtf_only,100.0,100.0,0.0,0.0,0.0,0.0,0.0
unambiguous,confidence_gate,100.0,100.0,0.0,0.0,0.0,0.0,0.0
unambiguous,direct,100.0,100.0,0.0,0.0,0.0,0.0,0.0
unambiguous,entity_cmtf_provenance,100.0,100.0,0.0,0.0,0.0,0.0,0.0
unambiguous,entity_retrieval,100.0,100.0,0.0,0.0,0.0,0.0,0.0
unambiguous,semantic_filter,100.0,100.0,0.0,0.0,0.0,0.0,0.0
