model,method,task_success,safe_success,wrong_tool,wrong_entity,ambiguity_detected,over_clarification,risk_weighted_wrong_entity
us.amazon.nova-2-lite-v1:0,cmtf_only,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.amazon.nova-2-lite-v1:0,confidence_gate,30.0,38.3,0.0,0.0,70.0,0.0,0.0
us.amazon.nova-2-lite-v1:0,direct,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.amazon.nova-2-lite-v1:0,entity_cmtf_provenance,30.0,38.3,0.0,0.0,70.0,0.0,0.0
us.amazon.nova-2-lite-v1:0,entity_retrieval,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.amazon.nova-2-lite-v1:0,semantic_filter,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.amazon.nova-premier-v1:0,cmtf_only,58.3,58.3,0.0,41.7,0.0,0.0,1.75
us.amazon.nova-premier-v1:0,confidence_gate,30.0,38.3,0.0,0.0,70.0,0.0,0.0
us.amazon.nova-premier-v1:0,direct,56.7,56.7,0.0,43.3,0.0,0.0,1.817
us.amazon.nova-premier-v1:0,entity_cmtf_provenance,30.0,38.3,0.0,0.0,70.0,0.0,0.0
us.amazon.nova-premier-v1:0,entity_retrieval,56.7,56.7,0.0,43.3,0.0,0.0,1.817
us.amazon.nova-premier-v1:0,semantic_filter,61.7,61.7,0.0,38.3,0.0,0.0,1.617
us.anthropic.claude-opus-4-8,cmtf_only,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.anthropic.claude-opus-4-8,confidence_gate,41.7,50.0,0.0,0.0,58.3,0.0,0.0
us.anthropic.claude-opus-4-8,direct,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.anthropic.claude-opus-4-8,entity_cmtf_provenance,23.3,31.7,0.0,0.0,76.7,0.0,0.0
us.anthropic.claude-opus-4-8,entity_retrieval,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.anthropic.claude-opus-4-8,semantic_filter,78.3,81.7,0.0,16.7,5.0,0.0,0.717
us.anthropic.claude-sonnet-4-6,cmtf_only,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.anthropic.claude-sonnet-4-6,confidence_gate,35.0,43.3,0.0,0.0,65.0,0.0,0.0
us.anthropic.claude-sonnet-4-6,direct,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.anthropic.claude-sonnet-4-6,entity_cmtf_provenance,30.0,38.3,0.0,0.0,70.0,0.0,0.0
us.anthropic.claude-sonnet-4-6,entity_retrieval,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.anthropic.claude-sonnet-4-6,semantic_filter,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.meta.llama3-3-70b-instruct-v1:0,cmtf_only,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.meta.llama3-3-70b-instruct-v1:0,confidence_gate,21.7,30.0,0.0,0.0,78.3,0.0,0.0
us.meta.llama3-3-70b-instruct-v1:0,direct,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.meta.llama3-3-70b-instruct-v1:0,entity_cmtf_provenance,16.7,25.0,0.0,0.0,83.3,0.0,0.0
us.meta.llama3-3-70b-instruct-v1:0,entity_retrieval,78.3,78.3,0.0,21.7,0.0,0.0,0.95
us.meta.llama3-3-70b-instruct-v1:0,semantic_filter,78.3,78.3,0.0,21.7,0.0,0.0,0.95
