ambiguity,method,task_success,safe_success,wrong_tool,wrong_entity,entity_correct,ambiguity_detected,over_clarification,risk_weighted_wrong_entity
account_collision,cmtf_only,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
account_collision,confidence_gate,0.475,0.475,0.0,0.0,0.475,0.525,0.0,0.0
account_collision,direct,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
account_collision,entity_cmtf_provenance,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.0
account_collision,entity_retrieval,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
account_collision,semantic_filter,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
cross_system,confidence_gate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cross_system,entity_cmtf_provenance,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cross_system,cmtf_only,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
cross_system,direct,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
cross_system,entity_retrieval,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
cross_system,semantic_filter,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
document_version,cmtf_only,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
document_version,confidence_gate,0.4,0.4,0.0,0.0,0.4,0.6,0.0,0.0
document_version,direct,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
document_version,entity_cmtf_provenance,0.4,0.4,0.0,0.0,0.4,0.6,0.0,0.0
document_version,entity_retrieval,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
document_version,semantic_filter,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
name_collision,confidence_gate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
name_collision,entity_cmtf_provenance,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
name_collision,cmtf_only,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
name_collision,direct,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
name_collision,entity_retrieval,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
name_collision,semantic_filter,0.8,0.8,0.0,0.2,0.8,0.0,0.0,0.8
near_duplicate,cmtf_only,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
near_duplicate,confidence_gate,0.25,0.25,0.0,0.0,0.25,0.75,0.0,0.0
near_duplicate,direct,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
near_duplicate,entity_cmtf_provenance,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
near_duplicate,entity_retrieval,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
near_duplicate,semantic_filter,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
temporal,confidence_gate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporal,entity_cmtf_provenance,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporal,semantic_filter,0.075,0.075,0.0,0.9,0.075,0.025,0.0,3.6
temporal,cmtf_only,0.025,0.025,0.0,0.975,0.025,0.0,0.0,3.9
temporal,direct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
temporal,entity_retrieval,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
true_ambiguity,confidence_gate,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
true_ambiguity,entity_cmtf_provenance,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
true_ambiguity,semantic_filter,0.0,0.08,0.0,0.92,0.0,0.08,0.0,4.6
true_ambiguity,cmtf_only,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
true_ambiguity,direct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
true_ambiguity,entity_retrieval,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
unambiguous,cmtf_only,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
unambiguous,confidence_gate,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
unambiguous,direct,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
unambiguous,entity_cmtf_provenance,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
unambiguous,entity_retrieval,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
unambiguous,semantic_filter,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
