risk,method,task_success,safe_success,wrong_tool,wrong_entity,entity_correct,ambiguity_detected,over_clarification,risk_weighted_wrong_entity
critical,confidence_gate,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
critical,entity_cmtf_provenance,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
critical,semantic_filter,0.0,0.08,0.0,0.92,0.0,0.08,0.0,4.6
critical,cmtf_only,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
critical,direct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
critical,entity_retrieval,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
high,confidence_gate,0.2,0.2,0.0,0.0,0.2,0.8,0.0,0.0
high,entity_cmtf_provenance,0.12444444444444444,0.12444444444444444,0.0,0.0,0.12444444444444444,0.8755555555555555,0.0,0.0
high,semantic_filter,0.7777777777777778,0.7777777777777778,0.0,0.21777777777777776,0.7777777777777778,0.0044444444444444444,0.0,0.8711111111111111
high,cmtf_only,0.7688888888888888,0.7688888888888888,0.0,0.2311111111111111,0.7688888888888888,0.0,0.0,0.9244444444444444
high,direct,0.7644444444444445,0.7644444444444445,0.0,0.23555555555555555,0.7644444444444445,0.0,0.0,0.9422222222222222
high,entity_retrieval,0.7644444444444445,0.7644444444444445,0.0,0.23555555555555555,0.7644444444444445,0.0,0.0,0.9422222222222222
medium,cmtf_only,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medium,confidence_gate,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medium,direct,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medium,entity_cmtf_provenance,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medium,entity_retrieval,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medium,semantic_filter,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
